time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
1.710024,-0.000011,0.000594,0.001333
1.715024,-0.000019,0.000622,0.001511
1.720024,-0.000020,0.000628,0.001629
1.725025,-0.000025,0.000656,0.001798
1.730025,-0.000031,0.000684,0.001901
1.735025,-0.000045,0.000743,0.002064
1.740025,-0.000049,0.000766,0.002165
1.745026,-0.000045,0.000775,0.002330
1.750026,-0.000041,0.000778,0.002438
1.755026,-0.000018,0.000732,0.002604
1.760026,0.000002,0.000683,0.002704
1.765026,0.000028,0.000612,0.002835
1.770027,0.000046,0.000560,0.002905
1.775027,0.000063,0.000509,0.002987
1.780027,0.000072,0.000492,0.003026
1.785027,0.000081,0.000484,0.003087
1.790028,0.000087,0.000480,0.003121
1.795028,0.000099,0.000457,0.003175
1.800028,0.000103,0.000451,0.003189
1.805028,0.000113,0.000430,0.003190
1.810029,0.000110,0.000472,0.003101
1.815029,0.000070,0.000784,0.002645
1.820029,0.000020,0.001187,0.002128
1.825029,-0.000075,0.002018,0.001075
1.830029,-0.000154,0.002712,0.000177
1.835030,-0.000301,0.003891,-0.001395
1.840030,-0.000419,0.004672,-0.002566
1.845030,-0.000624,0.005672,-0.004468
1.850030,-0.000793,0.006246,-0.005720
1.855031,-0.001080,0.006886,-0.007366
1.860031,-0.001284,0.007146,-0.008225
1.865031,-0.001566,0.007246,-0.009043
1.870031,-0.001722,0.007137,-0.009276
1.875032,-0.001890,0.006785,-0.009211
1.880032,-0.001964,0.006483,-0.008958
1.885032,-0.002022,0.005989,-0.008395
1.890032,-0.002025,0.005636,-0.007947
1.895033,-0.001996,0.005129,-0.007218
1.900033,-0.001960,0.004813,-0.006736
1.905033,-0.001888,0.004376,-0.006075
1.910033,-0.001847,0.004136,-0.005737
1.915033,-0.001823,0.003888,-0.005379
1.920034,-0.001835,0.003786,-0.005257
1.925034,-0.001864,0.003664,-0.005201
1.930034,-0.001894,0.003603,-0.005180
1.935034,-0.001949,0.003535,-0.005079
1.940035,-0.001995,0.003507,-0.004945
1.945035,-0.002023,0.003418,-0.004474
1.950035,-0.001966,0.003279,-0.003838
1.955035,-0.001638,0.002813,-0.002372
1.960036,-0.001234,0.002317,-0.001081
1.965036,-0.000427,0.001365,0.001141
1.970036,0.000212,0.000610,0.002747
1.975036,0.001248,-0.000686,0.005216
1.980036,0.001963,-0.001673,0.006866
1.985037,0.002967,-0.003290,0.009268
1.990037,0.003561,-0.004476,0.010802
1.995037,0.004330,-0.006523,0.012821
2.000037,0.004725,-0.008075,0.013942
2.005037,0.005003,-0.010493,0.015201
2.010037,0.004929,-0.012016,0.015732
2.015036,0.004422,-0.013824,0.015900
2.020036,0.003897,-0.014609,0.015638
2.025036,0.002985,-0.015114,0.014836
2.030035,0.002378,-0.015048,0.014144
2.035035,0.001559,-0.014457,0.013023
2.040035,0.001105,-0.013830,0.012256
2.045034,0.000579,-0.012651,0.011126
2.050034,0.000330,-0.011783,0.010406
2.055033,0.000091,-0.010440,0.009376
2.060033,0.000008,-0.009571,0.008722
2.065033,-0.000035,-0.008367,0.007788
2.070032,-0.000025,-0.007648,0.007202
2.075032,0.000017,-0.006727,0.006371
2.080032,0.000051,-0.006224,0.005849
2.085031,0.000091,-0.005628,0.005141
2.090031,0.000109,-0.005310,0.004743
2.095031,0.000116,-0.004939,0.004231
2.100030,0.000100,-0.004770,0.003977
2.105030,0.000051,-0.004601,0.003700
2.110029,-0.000003,-0.004541,0.003578
2.115029,-0.000109,-0.004507,0.003512
2.120029,-0.000189,-0.004499,0.003507
2.125028,-0.000311,-0.004484,0.003529
2.130028,-0.000387,-0.004463,0.003556
2.135028,-0.000485,-0.004404,0.003582
2.140027,-0.000541,-0.004351,0.003560
2.145027,-0.000590,-0.004222,0.003518
2.150027,-0.000612,-0.004126,0.003494
2.155026,-0.000611,-0.003946,0.003444
2.160026,-0.000595,-0.003811,0.003395
2.165025,-0.000519,-0.003555,0.003280
2.170025,-0.000416,-0.003330,0.003160
2.175025,-0.000217,-0.002964,0.002918
2.180024,-0.000065,-0.002713,0.002737
2.185024,0.000230,-0.002290,0.002424
2.190024,0.000438,-0.002013,0.002197
2.195023,0.000743,-0.001631,0.001823
2.200023,0.000939,-0.001398,0.001553
2.205023,0.001207,-0.001092,0.001130
2.210022,0.001359,-0.000923,0.000853
2.215022,0.001518,-0.000750,0.000484
2.220021,0.001587,-0.000676,0.000274
2.225021,0.001657,-0.000599,0.000018
2.230021,0.001732,-0.000519,-0.000197
2.235020,0.001917,-0.000324,-0.000642
2.240020,0.002105,-0.000127,-0.001038
2.245020,0.002479,0.000273,-0.001740
2.250019,0.002773,0.000598,-0.002267
2.255019,0.003252,0.001149,-0.003121
2.260019,0.003584,0.001556,-0.003719
2.265018,0.004046,0.002177,-0.004570
2.270018,0.004308,0.002579,-0.005084
2.275017,0.004626,0.003155,-0.005741
2.280017,0.004775,0.003503,-0.006092
2.285017,0.004901,0.003957,-0.006503
2.290016,0.004936,0.004229,-0.006697
2.295016,0.004911,0.004565,-0.006845
2.300016,0.004861,0.004759,-0.006883
2.305015,0.004738,0.004988,-0.006868
2.310015,0.004642,0.005126,-0.006830
2.315015,0.004488,0.005321,-0.006750
2.320014,0.004378,0.005443,-0.006680
2.325014,0.004215,0.005629,-0.006565
2.330014,0.004110,0.005766,-0.006491
2.335013,0.003942,0.005959,-0.006410
2.340013,0.003824,0.006078,-0.006384
2.345012,0.003643,0.006261,-0.006361
2.350012,0.003518,0.006380,-0.006362
2.355012,0.003322,0.006544,-0.006366
2.360011,0.003187,0.006636,-0.006355
2.365011,0.002977,0.006756,-0.006324
2.370011,0.002835,0.006823,-0.006300
2.375010,0.002618,0.006891,-0.006237
2.380010,0.002471,0.006904,-0.006180
2.385010,0.002253,0.006905,-0.006097
2.390009,0.002110,0.006878,-0.006012
2.395009,0.001899,0.006797,-0.005897
2.400008,0.001762,0.006718,-0.005807
2.405008,0.001564,0.006561,-0.005683
2.410008,0.001438,0.006435,-0.005602
2.415007,0.001261,0.006239,-0.005481
2.420007,0.001152,0.006087,-0.005379
2.425007,0.001002,0.005844,-0.005216
2.430006,0.000909,0.005686,-0.005116
2.435006,0.000783,0.005457,-0.004975
2.440006,0.000707,0.005292,-0.004871
2.445005,0.000606,0.005033,-0.004718
2.450005,0.000548,0.004860,-0.004607
2.455004,0.000472,0.004595,-0.004446
2.460004,0.000430,0.004407,-0.004316
2.465004,0.000391,0.004079,-0.004110
2.470003,0.000378,0.003852,-0.003958
2.475003,0.000366,0.003535,-0.003698
2.480003,0.000371,0.003308,-0.003522
2.485002,0.000398,0.002948,-0.003267
2.490002,0.000430,0.002694,-0.003086
2.495002,0.000479,0.002346,-0.002778
2.500001,0.000521,0.002115,-0.002542
2.505001,0.000589,0.001788,-0.002192
2.510000,0.000641,0.001573,-0.001972
2.515000,0.000727,0.001257,-0.001697
2.520000,0.000791,0.001043,-0.001526
2.524999,0.000893,0.000722,-0.001298
2.529999,0.000968,0.000503,-0.001145
2.534999,0.001079,0.000190,-0.000887
2.539998,0.001149,0.000001,-0.000722
2.544998,0.001245,-0.000253,-0.000486
2.549998,0.001309,-0.000418,-0.000322
2.554997,0.001415,-0.000691,-0.000035
2.559997,0.001477,-0.000847,0.000147
2.564996,0.001562,-0.001059,0.000415
2.569996,0.001613,-0.001184,0.000599
2.574996,0.001678,-0.001350,0.000861
2.579995,0.001725,-0.001472,0.001008
2.584995,0.001798,-0.001679,0.001188
2.589995,0.001851,-0.001834,0.001319
2.594994,0.001916,-0.002040,0.001510
2.599994,0.001951,-0.002162,0.001621
2.604994,0.001995,-0.002329,0.001776
2.609993,0.002021,-0.002439,0.001869
2.614993,0.002050,-0.002588,0.001983
2.619992,0.002059,-0.002666,0.002058
2.624992,0.002065,-0.002770,0.002178
2.629992,0.002063,-0.002831,0.002254
2.634991,0.002049,-0.002887,0.002377
2.639991,0.002034,-0.002910,0.002439
2.644991,0.002010,-0.002944,0.002521
2.649990,0.001994,-0.002966,0.002554
2.654990,0.001972,-0.003013,0.002585
2.659990,0.001957,-0.003047,0.002581
2.664989,0.001931,-0.003090,0.002569
2.669989,0.001910,-0.003109,0.002541
2.674989,0.001876,-0.003122,0.002507
2.679988,0.001854,-0.003134,0.002507
2.684988,0.001821,-0.003147,0.002497
2.689987,0.001799,-0.003157,0.002504
2.694987,0.001767,-0.003176,0.002525
2.699987,0.001743,-0.003181,0.002551
2.704986,0.001706,-0.003183,0.002595
2.709986,0.001681,-0.003179,0.002617
2.714986,0.001644,-0.003161,0.002633
2.719985,0.001619,-0.003121,0.002629
2.724985,0.001584,-0.003057,0.002619
2.729985,0.001563,-0.003003,0.002595
2.734984,0.001535,-0.002915,0.002551
2.739984,0.001519,-0.002840,0.002502
2.744983,0.001499,-0.002715,0.002426
2.749983,0.001489,-0.002633,0.002357
2.754983,0.001481,-0.002534,0.002266
2.759982,0.001481,-0.002481,0.002213
2.764982,0.001485,-0.002399,0.002125
2.769982,0.001491,-0.002340,0.002081
2.774981,0.001504,-0.002250,0.002032
2.779981,0.001514,-0.002175,0.001999
2.784981,0.001534,-0.002061,0.001906
2.789980,0.001551,-0.001982,0.001836
2.794980,0.001584,-0.001864,0.001714
2.799979,0.001608,-0.001801,0.001637
2.804979,0.001649,-0.001707,0.001534
2.809979,0.001680,-0.001627,0.001456
2.814978,0.001730,-0.001504,0.001349
2.819978,0.001767,-0.001410,0.001288
2.824978,0.001822,-0.001281,0.001191
2.829977,0.001846,-0.001205,0.001127
2.834977,0.001865,-0.001103,0.001006
2.839977,0.001872,-0.001047,0.000915
2.844976,0.001877,-0.000940,0.000803
2.849976,0.001881,-0.000858,0.000727
2.854975,0.001885,-0.000730,0.000610
2.859975,0.001888,-0.000650,0.000522
2.864975,0.001892,-0.000537,0.000384
2.869974,0.001895,-0.000465,0.000293
2.874974,0.001900,-0.000380,0.000155
2.879974,0.001906,-0.000323,0.000087
2.884973,0.001916,-0.000254,0.000032
2.889973,0.001925,-0.000202,0.000009
2.894973,0.001945,-0.000082,-0.000036
2.899972,0.001962,0.000007,-0.000093
2.904972,0.001995,0.000155,-0.000189
2.909971,0.002019,0.000257,-0.000264
2.914971,0.002055,0.000388,-0.000371
2.919971,0.002079,0.000462,-0.000437
2.924970,0.002115,0.000546,-0.000559
2.929970,0.002143,0.000623,-0.000658
2.934970,0.002183,0.000699,-0.000782
2.939969,0.002209,0.000717,-0.000870
2.944969,0.002248,0.000745,-0.001004
2.949969,0.002267,0.000773,-0.001087
2.954968,0.002276,0.000831,-0.001173
2.959968,0.002273,0.000880,-0.001196
2.964967,0.002260,0.000945,-0.001224
2.969967,0.002247,0.000995,-0.001244
2.974967,0.002228,0.001102,-0.001268
2.979966,0.002214,0.001174,-0.001264
2.984966,0.002191,0.001257,-0.001241
2.989966,0.002176,0.001301,-0.001233
2.994965,0.002154,0.001355,-0.001233
2.999965,0.002142,0.001375,-0.001250
3.004965,0.002125,0.001382,-0.001279
3.009964,0.002117,0.001390,-0.001308
3.014964,0.002107,0.001384,-0.001351
3.019964,0.002104,0.001376,-0.001361
3.024963,0.002103,0.001353,-0.001381
3.029963,0.002106,0.001359,-0.001385
3.034962,0.002117,0.001357,-0.001379
3.039962,0.002127,0.001361,-0.001383
3.044962,0.002145,0.001384,-0.001375
3.049961,0.002150,0.001396,-0.001376
3.054961,0.002140,0.001380,-0.001362
3.059961,0.002125,0.001364,-0.001341
3.064960,0.002099,0.001336,-0.001303
3.069960,0.002080,0.001319,-0.001279
3.074960,0.002051,0.001288,-0.001269
3.079959,0.002034,0.001264,-0.001259
3.084959,0.002010,0.001221,-0.001230
3.089958,0.001997,0.001223,-0.001227
3.094958,0.001983,0.001208,-0.001219
3.099958,0.001978,0.001173,-0.001210
3.104957,0.001977,0.001087,-0.001173
3.109957,0.001981,0.001037,-0.001154
3.114957,0.001993,0.000956,-0.001125
